run,h,k,l,omega,x,y,module,lp,d,counts,sigma_counts,I,sigma,background,nframes,dx,dy,domega,background_transmission,shadowed,transmission,I_before_absorption,ah,ak,al,I_scaled,sigma_scaled,robust_weight,merge_mean,scale_factor
1.0,-3,0,-10,36.843808779377554,189.3242645865492,14.60156572091745,0.0,0.2835080382447214,1.037732273620628,138.5681818181818,12.451735333274527,39.4812580225381,3.547785422821077,10.431818181818182,5,0.0,0.0,0.0,1.3201259,False,0.9950339821488068,39.285193390410605,3,0,10,39.4812580225381,3.547785422821077,1.0,44.24203708381823,1.0
1.0,-2,0,-12,25.11484078875924,113.8328427361264,13.841610069621254,0.0,0.4444875351819042,0.9664820163695422,55.74712643678161,7.764682348972594,24.90525796302264,3.4689037671096736,2.2528735632183907,4,0.0,0.0,0.0,1.0534923,False,0.9949265677211132,24.77890282335904,2,0,12,24.90525796302264,3.4689037671096736,1.0,25.082417449688304,1.0
1.0,-2,0,-11,29.23847089156706,137.65548211893102,50.21897122171305,0.0,0.3972198591199157,1.0433763758793448,236.6966292134832,15.751286210839927,94.49492070315884,6.288287866252773,7.3033707865168545,3,0.0,0.0,0.0,1.4399968,False,0.9949804816037666,94.02060171033872,2,0,11,94.49492070315884,6.288287866252773,1.0,86.48914636727365,1.0
1.0,-2,0,-10,33.699644039662104,160.22948389932364,82.41021497059307,0.0,0.3508934156289695,1.1324102167593937,141.55172413793105,12.440185864210704,49.91830710187813,4.387039593873149,8.448275862068966,4,0.0,0.0,0.0,1.2043767,False,0.9950170759909344,49.66956797092827,2,0,10,49.91830710187813,4.387039593873149,1.0,48.91670480322428,1.0
1.0,-2,1,-11,5.088794025126305,185.46832386736745,10.63629975183528,0.0,0.2913402076940989,1.0278030410882912,328.3023255813954,18.679959790711145,96.17929765422494,5.472472391714224,12.697674418604649,5,-0.1571340788646864,-0.1222775772335857,0.1235184690505333,1.6468471,False,0.994472511799818,95.64766772133942,2,1,11,96.17929765422494,5.472472391714224,1.0,103.13088075808064,1.0
1.0,-2,1,-10,6.60818248271201,207.7891571499513,45.02272422712099,0.0,0.2464897747059309,1.112578857682359,235.80459770114945,15.82038918499974,58.445427536344575,3.921167859841796,9.195402298850574,4,0.2956870676160008,-0.2327224668675214,-0.1157515726609625,1.411386,False,0.9944904950149378,58.12342216197899,2,1,10,58.445427536344575,3.921167859841796,1.0,57.15763219953195,1.0
1.0,-2,1,-9,7.579254706120935,230.02529659684325,75.62760515543823,0.0,0.2009794778023396,1.210619666929896,335.55172413793105,18.689841581968967,67.81281950227849,3.777095340458635,8.448275862068964,5,-0.0281816946857418,0.2402448194739719,0.168675549774699,1.4684623,False,0.9944876321010392,67.4390102929161,2,1,9,67.81281950227849,3.777095340458635,1.0,70.67185267045363,1.0
1.0,-2,1,-8,7.623489316077212,252.48479380476087,103.19590281332256,0.0,0.1546773621442444,1.3245551819639991,63.05882352941177,9.143984730269668,9.808162650407926,1.4222544045005905,12.941176470588236,5,0.0,0.0,0.0,1.047261,False,0.9944546018558492,9.753772483448826,2,1,8,9.808162650407926,1.4222544045005905,1.0,9.318435043119903,1.0
1.0,-2,1,-7,5.721782994563142,275.832129361994,128.27710904469143,0.0,0.1065924126571314,1.4573140420198205,1518.7159090909092,39.37963372970793,162.8024023979194,4.221394494105367,20.284090909090907,6,0.0,0.0,0.0,1.5227326,False,0.9943562902413144,161.8835928907688,2,1,7,162.8024023979194,4.221394494105367,1.0,186.8063883459292,1.0
1.0,-2,1,-6,-2.524802636312529,302.80587580415005,151.14292890629764,0.0,0.0514763724690236,1.6117306146065138,4552.32183908046,67.97869071505473,235.7540529114189,3.5204566843462,43.67816091954023,10,0.0,0.0,0.0,2.4160097,False,0.9939893363166292,234.3370145873768,2,1,6,235.7540529114189,3.5204566843462,1.0,266.92356504701763,1.0
1.0,-1,-1,-13,32.252838738639184,10.37768752044508,74.41923967141378,0.0,0.6789720368913916,0.922712837456777,157.82022471910113,13.068251395888556,107.70192770054818,8.918222423759032,8.179775280898877,3,0.0,0.0,0.0,1.2302529,False,0.9949266622053214,107.15551944018526,1,1,13,107.70192770054818,8.918222423759032,1.0,119.17496159210035,1.0
